Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Rohit Verma,Pediatrics,9,13-01-2025,Govt Health Center,Mumbai,63,58,1.55,1
Dr. Rohit Verma,Pediatrics,11,14-01-2025,Govt Health Center,New Delhi,82,237,0.76,0
Dr. Rohit Verma,Cardiology,10,15-01-2025,Metro Hospital,Mumbai,78,145,1.63,1
Dr. Anil Mehra,Orthopedics,8,16-01-2025,Govt Health Center,New Delhi,33,182,1.59,1
Dr. Rohit Verma,Pediatrics,15,17-01-2025,Govt Health Center,Mumbai,72,212,2,1
Dr. Swati Desai,Cardiology,14,18-01-2025,Metro Hospital,Mumbai,60,188,1.87,1
Dr. Anil Mehra,Orthopedics,11,19-01-2025,City Hospital,New Delhi,24,347,1.53,0
Dr. Swati Desai,Pediatrics,16,20-01-2025,City Hospital,Chennai,56,129,1.57,1
Dr. Anil Mehra,Orthopedics,11,21-01-2025,Govt Health Center,Chennai,82,140,1.92,1
Dr. Rohit Verma,Orthopedics,8,22-01-2025,City Hospital,Mumbai,55,305,1.95,0
Dr. Swati Desai,Cardiology,17,23-01-2025,City Hospital,Chennai,39,197,1.74,1
Dr. Anil Mehra,Orthopedics,8,24-01-2025,Govt Health Center,Mumbai,88,228,1.65,1
Dr. Ravi Kumar,Cardiology,8,25-01-2025,Metro Hospital,Kolkata,29,306,0.67,0
Dr. Rohit Verma,Pediatrics,8,26-01-2025,City Hospital,Kolkata,66,267,1.75,1
Dr. Anil Mehra,Orthopedics,11,27-01-2025,Govt Health Center,Kolkata,58,316,0.88,0
Dr. Ravi Kumar,Orthopedics,8,28-01-2025,Metro Hospital,Chennai,65,366,1.35,0
Dr. Anil Mehra,Dermatology,9,29-01-2025,City Hospital,Chennai,65,128,1.11,1
Dr. Ravi Kumar,Pediatrics,11,30-01-2025,Metro Hospital,New Delhi,34,216,1.02,1
Dr. Rohit Verma,Pediatrics,14,31-01-2025,Govt Health Center,Chennai,18,153,0.97,0
Dr. Swati Desai,Dermatology,9,01-02-2025,Metro Hospital,Mumbai,31,353,1.78,0
Dr. Ravi Kumar,Dermatology,15,02-02-2025,Metro Hospital,New Delhi,86,387,1.65,0
Dr. Anil Mehra,Cardiology,14,03-02-2025,Govt Health Center,Chennai,46,333,1.29,0
Dr. Rohit Verma,Cardiology,16,04-02-2025,City Hospital,New Delhi,37,394,1.5,0
Dr. Ravi Kumar,Orthopedics,13,05-02-2025,City Hospital,Chennai,23,264,1.98,1
Dr. Anil Mehra,Orthopedics,11,06-02-2025,Metro Hospital,Mumbai,39,124,1.1,1
Dr. Anil Mehra,Orthopedics,13,07-02-2025,Metro Hospital,Kolkata,48,274,1.33,1
Dr. Anil Mehra,Orthopedics,11,08-02-2025,Metro Hospital,Kolkata,66,385,1.3,0
Dr. Ravi Kumar,Cardiology,14,09-02-2025,Metro Hospital,Mumbai,14,341,1.9,0
Dr. Ravi Kumar,Pediatrics,16,10-02-2025,City Hospital,New Delhi,21,392,1.03,0
Dr. Ravi Kumar,Orthopedics,10,11-02-2025,Govt Health Center,Kolkata,44,119,1.98,1
Dr. Swati Desai,Pediatrics,10,12-02-2025,Govt Health Center,Chennai,50,412,0.96,0
Dr. Ravi Kumar,Orthopedics,9,13-02-2025,Govt Health Center,Chennai,72,239,0.66,0
Dr. Ravi Kumar,Dermatology,8,14-02-2025,Metro Hospital,New Delhi,51,155,0.79,0
Dr. Ravi Kumar,Orthopedics,8,15-02-2025,Metro Hospital,New Delhi,74,119,1.14,1
Dr. Swati Desai,Orthopedics,10,16-02-2025,Govt Health Center,Mumbai,74,59,1.47,1
Dr. Ravi Kumar,Orthopedics,14,17-02-2025,City Hospital,Kolkata,52,263,1.28,1
Dr. Anil Mehra,Cardiology,16,18-02-2025,Govt Health Center,New Delhi,69,54,1.06,1
Dr. Ravi Kumar,Dermatology,9,19-02-2025,City Hospital,Kolkata,29,77,1.34,1
Dr. Anil Mehra,Orthopedics,14,20-02-2025,Metro Hospital,Kolkata,72,364,1.76,0
Dr. Anil Mehra,Orthopedics,8,21-02-2025,Govt Health Center,Chennai,33,442,1.76,0
Dr. Anil Mehra,Pediatrics,9,22-02-2025,Govt Health Center,New Delhi,84,472,1.59,0
Dr. Swati Desai,Dermatology,13,23-02-2025,Metro Hospital,Mumbai,81,290,1.93,1
Dr. Swati Desai,Orthopedics,12,24-02-2025,City Hospital,New Delhi,44,285,1.39,1
Dr. Swati Desai,Pediatrics,15,25-02-2025,Govt Health Center,Kolkata,50,141,0.51,0
Dr. Ravi Kumar,Pediatrics,9,26-02-2025,Govt Health Center,Chennai,25,367,0.94,0
Dr. Anil Mehra,Cardiology,8,27-02-2025,City Hospital,New Delhi,89,394,0.99,0
Dr. Swati Desai,Pediatrics,14,28-02-2025,Govt Health Center,New Delhi,15,412,1.32,0
Dr. Swati Desai,Orthopedics,13,01-03-2025,Govt Health Center,New Delhi,29,87,1.86,1
Dr. Ravi Kumar,Cardiology,15,02-03-2025,Metro Hospital,Mumbai,65,268,1.76,1
Dr. Swati Desai,Cardiology,15,03-03-2025,City Hospital,Mumbai,84,201,0.85,0
Dr. Ravi Kumar,Orthopedics,9,04-03-2025,Govt Health Center,Mumbai,17,241,1.28,1
Dr. Rohit Verma,Dermatology,15,05-03-2025,Govt Health Center,Mumbai,93,170,1.49,1
Dr. Swati Desai,Pediatrics,13,06-03-2025,Metro Hospital,Chennai,15,220,1.98,1
Dr. Rohit Verma,Cardiology,16,07-03-2025,Govt Health Center,Chennai,17,159,0.55,0
Dr. Ravi Kumar,Dermatology,14,08-03-2025,Metro Hospital,Mumbai,71,193,1.2,1
Dr. Anil Mehra,Orthopedics,9,09-03-2025,Govt Health Center,Kolkata,23,115,1.98,1
Dr. Swati Desai,Pediatrics,15,10-03-2025,Metro Hospital,Mumbai,12,371,1.97,0
Dr. Ravi Kumar,Pediatrics,16,11-03-2025,City Hospital,Mumbai,11,246,1,0
Dr. Anil Mehra,Cardiology,14,12-03-2025,City Hospital,Kolkata,31,95,0.5,0
Dr. Anil Mehra,Pediatrics,11,13-03-2025,Govt Health Center,New Delhi,94,198,1.38,1
Dr. Rohit Verma,Pediatrics,16,14-03-2025,Govt Health Center,Kolkata,79,109,1.8,1
Dr. Ravi Kumar,Pediatrics,11,15-03-2025,Metro Hospital,Kolkata,80,187,0.99,0
Dr. Anil Mehra,Pediatrics,11,16-03-2025,Metro Hospital,Chennai,15,451,1.9,0
Dr. Swati Desai,Orthopedics,16,17-03-2025,City Hospital,New Delhi,59,139,1,0
Dr. Swati Desai,Dermatology,15,18-03-2025,Govt Health Center,Kolkata,53,261,1.42,1
Dr. Rohit Verma,Orthopedics,11,19-03-2025,Metro Hospital,Mumbai,17,218,1.58,1
Dr. Anil Mehra,Orthopedics,15,20-03-2025,City Hospital,Kolkata,33,469,1.02,0
Dr. Ravi Kumar,Cardiology,15,21-03-2025,City Hospital,Chennai,36,162,1.03,1
Dr. Swati Desai,Pediatrics,14,22-03-2025,Metro Hospital,Kolkata,62,390,1.2,0
Dr. Anil Mehra,Orthopedics,17,23-03-2025,Govt Health Center,Mumbai,60,115,1.75,1
Dr. Anil Mehra,Pediatrics,13,24-03-2025,City Hospital,New Delhi,37,351,0.65,0
Dr. Rohit Verma,Orthopedics,15,25-03-2025,Metro Hospital,Chennai,68,167,1.45,1
Dr. Swati Desai,Orthopedics,14,26-03-2025,City Hospital,New Delhi,78,274,1.52,1
Dr. Swati Desai,Cardiology,12,27-03-2025,Govt Health Center,Chennai,92,200,1.34,1
Dr. Ravi Kumar,Dermatology,11,28-03-2025,Metro Hospital,Mumbai,82,216,1.9,1
Dr. Swati Desai,Dermatology,9,29-03-2025,Govt Health Center,Chennai,34,144,1.4,1
Dr. Ravi Kumar,Orthopedics,15,30-03-2025,Govt Health Center,New Delhi,53,309,1.45,0
Dr. Swati Desai,Cardiology,16,31-03-2025,City Hospital,New Delhi,56,474,1.4,0
Dr. Rohit Verma,Pediatrics,11,01-04-2025,Govt Health Center,Kolkata,22,308,1.58,0
Dr. Swati Desai,Pediatrics,11,02-04-2025,City Hospital,New Delhi,62,486,0.7,0
Dr. Ravi Kumar,Orthopedics,12,03-04-2025,Metro Hospital,Kolkata,62,169,1.84,1
Dr. Ravi Kumar,Dermatology,9,04-04-2025,Metro Hospital,New Delhi,46,123,0.56,0
Dr. Rohit Verma,Cardiology,14,05-04-2025,City Hospital,Kolkata,72,411,1.46,0
Dr. Swati Desai,Dermatology,12,06-04-2025,City Hospital,Mumbai,75,145,1.42,1
Dr. Swati Desai,Pediatrics,13,07-04-2025,City Hospital,Kolkata,49,341,0.81,0
Dr. Rohit Verma,Dermatology,11,08-04-2025,Govt Health Center,New Delhi,87,226,0.56,0
Dr. Swati Desai,Pediatrics,15,09-04-2025,Metro Hospital,Mumbai,70,76,0.71,0
Dr. Swati Desai,Cardiology,15,10-04-2025,Metro Hospital,Chennai,15,358,0.91,0
Dr. Ravi Kumar,Cardiology,12,11-04-2025,Govt Health Center,New Delhi,34,354,1.82,0
Dr. Swati Desai,Orthopedics,13,12-04-2025,City Hospital,Kolkata,55,260,1.78,1
Dr. Swati Desai,Orthopedics,10,13-04-2025,Metro Hospital,Chennai,40,407,0.6,0
Dr. Rohit Verma,Dermatology,8,14-04-2025,Govt Health Center,Kolkata,89,306,0.93,0
Dr. Rohit Verma,Cardiology,16,15-04-2025,City Hospital,Chennai,72,479,1.83,0
Dr. Anil Mehra,Cardiology,16,16-04-2025,Metro Hospital,Mumbai,77,367,0.85,0
Dr. Ravi Kumar,Orthopedics,10,17-04-2025,City Hospital,New Delhi,48,254,1.99,1
Dr. Swati Desai,Pediatrics,11,18-04-2025,Govt Health Center,Mumbai,89,404,0.89,0
Dr. Swati Desai,Dermatology,14,19-04-2025,Metro Hospital,New Delhi,45,115,1.61,1
Dr. Anil Mehra,Dermatology,9,20-04-2025,City Hospital,Chennai,16,199,1.13,1
Dr. Swati Desai,Orthopedics,10,21-04-2025,City Hospital,Mumbai,94,216,0.7,0
Dr. Ravi Kumar,Cardiology,13,22-04-2025,City Hospital,New Delhi,75,269,0.88,0
Dr. Anil Mehra,Orthopedics,15,23-04-2025,Govt Health Center,Chennai,64,349,1.51,0
Dr. Ravi Kumar,Orthopedics,8,24-04-2025,City Hospital,Mumbai,81,307,1.01,0
Dr. Anil Mehra,Orthopedics,11,25-04-2025,Metro Hospital,Mumbai,51,252,1.41,1
Dr. Anil Mehra,Orthopedics,8,26-04-2025,Metro Hospital,Mumbai,36,289,0.81,0
Dr. Rohit Verma,Pediatrics,9,27-04-2025,City Hospital,Mumbai,11,364,1.17,0
Dr. Ravi Kumar,Pediatrics,15,28-04-2025,Govt Health Center,Kolkata,79,278,1.27,1
Dr. Swati Desai,Cardiology,13,29-04-2025,Metro Hospital,Chennai,13,205,1.12,1
Dr. Swati Desai,Orthopedics,16,30-04-2025,Metro Hospital,Kolkata,30,267,0.8,0
Dr. Ravi Kumar,Pediatrics,9,01-05-2025,Metro Hospital,Chennai,10,244,1.19,1
Dr. Swati Desai,Cardiology,10,02-05-2025,City Hospital,Chennai,47,319,1.54,0
Dr. Swati Desai,Orthopedics,16,03-05-2025,Metro Hospital,Chennai,69,65,1.95,1
Dr. Ravi Kumar,Dermatology,16,04-05-2025,City Hospital,New Delhi,85,290,1.68,1
Dr. Anil Mehra,Pediatrics,13,05-05-2025,City Hospital,Chennai,23,301,0.74,0
Dr. Ravi Kumar,Cardiology,10,06-05-2025,City Hospital,Mumbai,88,100,0.91,0
Dr. Anil Mehra,Dermatology,12,07-05-2025,City Hospital,Kolkata,97,405,0.62,0
Dr. Swati Desai,Orthopedics,9,08-05-2025,City Hospital,Mumbai,91,77,0.7,0
Dr. Swati Desai,Orthopedics,14,09-05-2025,Metro Hospital,Mumbai,26,102,0.88,0
Dr. Swati Desai,Orthopedics,17,10-05-2025,City Hospital,Kolkata,82,357,0.8,0
Dr. Rohit Verma,Pediatrics,15,11-05-2025,City Hospital,Mumbai,56,165,0.82,0
Dr. Anil Mehra,Cardiology,13,12-05-2025,City Hospital,New Delhi,91,458,0.85,0
Dr. Rohit Verma,Dermatology,15,13-05-2025,City Hospital,Mumbai,65,490,0.95,0
Dr. Rohit Verma,Cardiology,9,14-05-2025,City Hospital,Mumbai,62,58,0.69,0
Dr. Ravi Kumar,Pediatrics,10,15-05-2025,City Hospital,Kolkata,27,60,0.92,0
Dr. Rohit Verma,Cardiology,14,16-05-2025,Metro Hospital,Mumbai,78,156,1.53,1
Dr. Ravi Kumar,Pediatrics,17,17-05-2025,City Hospital,Kolkata,57,350,0.85,0
Dr. Ravi Kumar,Orthopedics,8,18-05-2025,City Hospital,Chennai,18,390,0.76,0
Dr. Rohit Verma,Dermatology,14,19-05-2025,Metro Hospital,Chennai,63,307,0.6,0
Dr. Anil Mehra,Orthopedics,13,20-05-2025,Metro Hospital,New Delhi,44,231,1.25,1
Dr. Anil Mehra,Cardiology,15,21-05-2025,Govt Health Center,Kolkata,55,467,1.76,0
Dr. Anil Mehra,Orthopedics,14,22-05-2025,Metro Hospital,Kolkata,10,219,0.59,0
Dr. Anil Mehra,Dermatology,11,23-05-2025,Metro Hospital,Kolkata,50,374,1.31,0
Dr. Anil Mehra,Orthopedics,10,24-05-2025,City Hospital,New Delhi,82,188,1.48,1
Dr. Rohit Verma,Dermatology,10,25-05-2025,Govt Health Center,New Delhi,41,334,1.39,0
Dr. Rohit Verma,Dermatology,11,26-05-2025,City Hospital,Mumbai,93,160,1.82,1
Dr. Swati Desai,Orthopedics,16,27-05-2025,Govt Health Center,Kolkata,86,141,1.8,1
Dr. Anil Mehra,Pediatrics,16,28-05-2025,City Hospital,New Delhi,49,269,0.59,0
Dr. Rohit Verma,Cardiology,9,29-05-2025,Metro Hospital,Chennai,20,54,1.04,1
Dr. Swati Desai,Pediatrics,12,30-05-2025,Metro Hospital,Chennai,71,69,1.51,1
Dr. Anil Mehra,Pediatrics,8,31-05-2025,Govt Health Center,Kolkata,55,150,1.93,1
Dr. Ravi Kumar,Orthopedics,11,01-06-2025,City Hospital,Chennai,57,344,1.71,0
Dr. Swati Desai,Cardiology,9,02-06-2025,City Hospital,Mumbai,52,465,0.76,0
Dr. Rohit Verma,Cardiology,15,03-06-2025,Metro Hospital,Mumbai,60,206,0.92,0
Dr. Ravi Kumar,Pediatrics,11,04-06-2025,Metro Hospital,Kolkata,70,499,1.65,0
Dr. Ravi Kumar,Orthopedics,12,05-06-2025,Govt Health Center,New Delhi,51,432,1.21,0
Dr. Ravi Kumar,Cardiology,11,06-06-2025,Metro Hospital,New Delhi,35,50,1.32,1
Dr. Swati Desai,Pediatrics,12,07-06-2025,Govt Health Center,New Delhi,20,261,1.41,1
Dr. Rohit Verma,Cardiology,12,08-06-2025,Govt Health Center,New Delhi,34,168,0.65,0
Dr. Ravi Kumar,Orthopedics,12,09-06-2025,Govt Health Center,Kolkata,49,434,1.78,0
Dr. Anil Mehra,Orthopedics,10,10-06-2025,Govt Health Center,Mumbai,34,309,1.79,0
Dr. Ravi Kumar,Orthopedics,14,11-06-2025,Metro Hospital,Kolkata,93,448,1.2,0
Dr. Ravi Kumar,Cardiology,10,12-06-2025,Govt Health Center,Kolkata,84,224,1.44,1
Dr. Swati Desai,Dermatology,9,13-06-2025,Metro Hospital,Chennai,83,463,1.49,0
Dr. Swati Desai,Cardiology,10,14-06-2025,Govt Health Center,Mumbai,61,183,0.78,0
Dr. Rohit Verma,Dermatology,10,15-06-2025,Metro Hospital,New Delhi,12,151,0.67,0
Dr. Anil Mehra,Orthopedics,15,16-06-2025,Govt Health Center,Mumbai,48,434,0.53,0
Dr. Swati Desai,Pediatrics,11,17-06-2025,Metro Hospital,Chennai,44,111,1.87,1
Dr. Ravi Kumar,Dermatology,10,18-06-2025,City Hospital,Kolkata,49,497,1.02,0
Dr. Rohit Verma,Orthopedics,17,19-06-2025,Govt Health Center,Mumbai,94,438,0.63,0
Dr. Ravi Kumar,Orthopedics,12,20-06-2025,Govt Health Center,Chennai,31,103,1.2,1
Dr. Ravi Kumar,Dermatology,11,21-06-2025,City Hospital,Kolkata,71,354,0.61,0
Dr. Swati Desai,Pediatrics,16,22-06-2025,City Hospital,New Delhi,28,56,0.63,0
Dr. Rohit Verma,Orthopedics,15,23-06-2025,Govt Health Center,Mumbai,23,405,1.23,0
Dr. Anil Mehra,Dermatology,14,24-06-2025,Metro Hospital,New Delhi,59,52,1.26,1
Dr. Anil Mehra,Pediatrics,15,25-06-2025,Govt Health Center,New Delhi,71,381,1.37,0
Dr. Swati Desai,Pediatrics,12,26-06-2025,Metro Hospital,Chennai,96,428,1.48,0
Dr. Swati Desai,Orthopedics,11,27-06-2025,City Hospital,Chennai,99,494,1.5,0
Dr. Rohit Verma,Cardiology,14,28-06-2025,Metro Hospital,Kolkata,52,384,1.15,0
Dr. Anil Mehra,Cardiology,8,29-06-2025,Govt Health Center,New Delhi,64,474,1.47,0
Dr. Anil Mehra,Orthopedics,13,30-06-2025,City Hospital,Chennai,49,198,0.96,0
Dr. Anil Mehra,Pediatrics,15,01-07-2025,City Hospital,Chennai,21,337,1.16,0
